label,row,column
1,31.8470588235294,139.894117647059
2,33.3777777777778,189.740740740741
3,31.0869565217391,350.304347826087
4,31.0631578947368,401.705263157895
5,30.3851851851852,562.088888888889
6,30.6931818181818,613.613636363636
7,29.9158878504673,773.710280373832
8,29.7142857142857,825.311688311688
9,28.6875,985.7875
10,28.2906976744186,1036.76744186047
11,80.3461538461538,137.153846153846
12,78.9462365591398,188.666666666667
13,80.3513513513514,348.391891891892
14,80.2790697674419,399.96511627907
15,79.5494505494506,559.967032967033
16,79.6849315068493,611.506849315069
17,79.3372093023256,771.348837209302
18,79.125,822.472222222222
19,77.3125,982.575
20,76.8658536585366,1034.76829268293
21,129.78125,144.28125
22,127.428571428571,189.401785714286
23,126.709090909091,350.672727272727
24,125.507042253521,401.56338028169
25,126.282608695652,562.619565217391
26,126,615.208333333333
27,124.354430379747,774.126582278481
28,125.324324324324,824.689189189189
29,125.942307692308,984.951923076923
30,124.472972972973,1036.28378378378
