label,row,column
1,94,103
2,94,131
3,94,243
4,94,271
5,94,383
6,94,411
7,94,523
8,94,551
9,94,663
10,94,691
11,119,103
12,119,131
13,119,243
14,119,271
15,119,383
16,119,411
17,119,523
18,119,551
19,119,663
20,119,691
21,144,103
22,144,131
23,144,243
24,144,271
25,144,383
26,144,411
27,144,523
28,144,551
29,144,663
30,144,691
